grn_date,sku,facility,po_code,quantity_received,values_of_goods_received_without_taxes,cost_pu
2024-09-05,TestSKU,Opp_WIQ_KA,TESTPO,2,198.0,99.0
2024-09-09,GT800A-BLUE,Opp_WIQ_KA,PO0004,200,1017000.0,5085.0
2024-09-09,GT800A-BLUE-SPARES-BACKREST,Opp_WIQ_KA,PO0004,5,1590.0,318.0
2024-09-09,GT800A-BLUE-SPARES-LUMBARPILLOW,Opp_WIQ_KA,PO0004,5,1590.0,318.0
2024-09-09,GT800A-RED,Opp_WIQ_KA,PO0004,210,1067850.0,5085.0
2024-09-09,GT800A-RED-SPARES-BACKREST,Opp_WIQ_KA,PO0004,5,1590.0,318.0
2024-09-09,GT800A-RED-SPARES-LUMBARPILLOW,Opp_WIQ_KA,PO0004,5,1590.0,318.0
2024-09-09,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0004,18,5724.0,318.0
2024-09-09,GT800A-SPARES-CHAIR-GASLIFT,Opp_WIQ_KA,PO0004,15,4770.0,318.0
2024-09-09,GT800A-SPARES-CHAIR-MECHANISM,Opp_WIQ_KA,PO0004,15,4770.0,318.0
2024-09-09,GT800A-WHITE,Opp_WIQ_KA,PO0004,210,1067850.0,5085.0
2024-09-09,GT800A-WHITE-SPARES-BACKREST,Opp_WIQ_KA,PO0004,5,1590.0,318.0
2024-09-09,GT800A-WHITE-SPARES-LUMBARPILLOW,Opp_WIQ_KA,PO0004,5,1590.0,318.0
2024-09-13,TestSKU,Opp_WIQ_KA,TestPO1,10,990.0,99.0
2024-09-21,LS-6658B-01,Opp_WIQ_KA,PO0011,50,356300.0,7126.0
2024-09-21,LS-6689A-BLACK-LINKARM,Opp_WIQ_KA,PO0011,50,404950.0,8099.0
2024-09-21,LS-6689A-MAROON-LINKARM,Opp_WIQ_KA,PO0011,50,404950.0,8099.0
2024-09-21,LS-6689SN-BLACK-4D,Opp_WIQ_KA,PO0011,75,694725.0,9263.0
2024-09-21,LS-6689SN-MAROON-4D,Opp_WIQ_KA,PO0011,75,694725.0,9263.0
2024-09-21,LS-6689SN-WHITE-4D,Opp_WIQ_KA,PO0011,50,463150.0,9263.0
2024-09-21,LS-GD-LED48BK,Opp_WIQ_KA,PO0011,300,1247100.0,4157.0
2024-10-03,CRT-FRYPAN-BLK-24-COSY,Opp_WIQ_KA,PO0006,6,3720.0,620.0
2024-10-03,CRT-FRYPAN-BLK-26-COSY,Opp_WIQ_KA,PO0006,6,4122.0,687.0
2024-10-03,CRT-FRYPAN-WHT-24-COSY,Opp_WIQ_KA,PO0006,6,3720.0,620.0
2024-10-03,CRT-FRYPAN-WHT-26-COSY,Opp_WIQ_KA,PO0006,6,4122.0,687.0
2024-10-03,CRT-KADHAI-BLK-24-COSY,Opp_WIQ_KA,PO0006,6,5388.0,898.0
2024-10-03,CRT-KADHAI-WHT-24-COSY,Opp_WIQ_KA,PO0006,6,5388.0,898.0
2024-10-03,CRT-TAWA-BLK-26-COSY,Opp_WIQ_KA,PO0006,6,4566.0,761.0
2024-10-03,CRT-TAWA-WHT-26-COSY,Opp_WIQ_KA,PO0006,6,4566.0,761.0
2024-10-10,CRT-FRYPAN-BLK-24-COSY,Opp_WIQ_KA,PO0006,984,610080.0,620.0
2024-10-10,CRT-FRYPAN-BLK-26-COSY,Opp_WIQ_KA,PO0006,976,670512.0,687.0
2024-10-10,CRT-FRYPAN-WHT-24-COSY,Opp_WIQ_KA,PO0006,994,616280.0,620.0
2024-10-10,CRT-FRYPAN-WHT-26-COSY,Opp_WIQ_KA,PO0006,996,684252.0,687.0
2024-10-10,CRT-KADHAI-BLK-24-COSY,Opp_WIQ_KA,PO0006,996,894408.0,898.0
2024-10-10,CRT-KADHAI-WHT-24-COSY,Opp_WIQ_KA,PO0006,996,894408.0,898.0
2024-10-10,CRT-TAWA-BLK-26-COSY,Opp_WIQ_KA,PO0006,994,756434.0,761.0
2024-10-10,CRT-TAWA-WHT-26-COSY,Opp_WIQ_KA,PO0006,994,756434.0,761.0
2024-10-10,DOWINX-SPARES-CHAIR-4DARMREST,Opp_WIQ_KA,PO0012,2,2.0,1.0
2024-10-10,DOWINX-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0012,2,2.0,1.0
2024-10-10,DOWINX-SPARES-CHAIR-GASLIFT,Opp_WIQ_KA,PO0012,2,2.0,1.0
2024-10-10,DOWINX-SPARES-CHAIR-GASLIFTCOVER,Opp_WIQ_KA,PO0012,2,2.0,1.0
2024-10-10,DOWINX-SPARES-CHAIR-MECHANISM,Opp_WIQ_KA,PO0012,2,2.0,1.0
2024-10-10,DOWINX-SPARES-CHAIR-METALBASE,Opp_WIQ_KA,PO0012,2,2.0,1.0
2024-10-10,DOWINX-SPARES-CHAIR-SCREWS,Opp_WIQ_KA,PO0012,2,2.0,1.0
2024-10-31,GT800A-BLACK,Opp_WIQ_KA,PO0015,250,1246000.0,4984.0
2024-10-31,GT800A-RED,Opp_WIQ_KA,PO0015,120,598080.0,4984.0
2024-10-31,GT800A-WHITE,Opp_WIQ_KA,PO0015,250,1246000.0,4984.0
2024-11-14,ODR-AR-CONT-1030-5000,Opp_WIQ_KA,PO0016,200,19200.0,96.0
2024-11-14,ODR-AR-CONT-334-6070,Opp_WIQ_KA,PO0016,200,24600.0,123.0
2024-11-14,ODR-AR-PLASHELF,Opp_WIQ_KA,PO0016,200,46000.0,230.0
2024-11-15,ODR-ABD-MEASPOONS,Opp_WIQ_KA,PO0017,240,7200.0,30.0
2024-11-18,ODR-AC-LUNCHBAG-GREY,Opp_WIQ_KA,PO0018,500,71000.0,142.0
2024-11-18,ODR-AC-STEELBOTTLE-D1,Opp_WIQ_KA,PO0018,50,8350.0,167.0
2024-11-18,ODR-AC-STEELBOTTLE-D2,Opp_WIQ_KA,PO0018,50,8350.0,167.0
2024-11-22,GT800A-BLACK-SPARES-BACKREST,Opp_WIQ_KA,PO0019,5,5.0,1.0
2024-11-22,GT800A-RED-SPARES-BACKREST,Opp_WIQ_KA,PO0019,5,5.0,1.0
2024-11-22,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0019,18,18.0,1.0
2024-11-22,GT800A-SPARES-CHAIR-GASLIFT,Opp_WIQ_KA,PO0019,15,15.0,1.0
2024-11-22,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0019,15,15.0,1.0
2024-11-22,GT800A-WHITE-SPARES-BACKREST,Opp_WIQ_KA,PO0019,5,5.0,1.0
2024-11-25,GT800A-WHITE,Opp_WIQ_KA,PO0020,620,3036140.0,4897.0
2024-12-03,ODR-AR-CONT-1030-5000,Opp_WIQ_KA,PO0021,1020,97920.0,96.0
2024-12-03,ODR-AR-CONT-334-6070,Opp_WIQ_KA,PO0021,200,24600.0,123.0
2024-12-03,ODR-AR-PLASHELF,Opp_WIQ_KA,PO0021,672,154560.0,230.0
2024-12-04,ODR-CLAZ-CHOPBRD-STL,Opp_WIQ_KA,PO0021,250,37500.0,150.0
2024-12-04,ODR-CLAZ-CHOPBRD-STLEDGE,Opp_WIQ_KA,PO0021,100,24000.0,240.0
2024-12-04,ODR-CLAZ-COCOPEN,Opp_WIQ_KA,PO0021,52,3120.0,60.0
2024-12-04,ODR-CLAZ-ICETRAY,Opp_WIQ_KA,PO0021,100,7000.0,70.0
2024-12-04,ODR-CLAZ-OILDISP-1L,Opp_WIQ_KA,PO0021,200,12000.0,60.0
2024-12-04,ODR-CLAZ-STRAINER-GRN,Opp_WIQ_KA,PO0021,185,5550.0,30.0
2024-12-04,ODR-CLAZ-STRAINER-TEAL,Opp_WIQ_KA,PO0021,231,6930.0,30.0
2024-12-07,ODR-AR-CONT-25L,Opp_WIQ_KA,PO0021,100,27500.0,275.0
2024-12-17,LS-6650-BLACK-LINKARM,Opp_WIQ_KA,PO0024,280,1661520.0,5934.0
2024-12-17,LS-6657D-GREEN-LINKARM,Opp_WIQ_KA,PO0024,90,685440.0,7616.0
2024-12-17,LS-6658-BLACK-LINKARM,Opp_WIQ_KA,PO0024,264,1731312.0,6558.0
2024-12-17,LS-6658B-01,Opp_WIQ_KA,PO0024,270,1928421.0,7142.3
2024-12-17,LS-6689A-BLACK-LINKARM,Opp_WIQ_KA,PO0024,47,389160.0,8280.0
2024-12-17,LS-6689A-MAROON-LINKARM,Opp_WIQ_KA,PO0024,47,393313.39,8368.37
2024-12-17,LS-6689SN-BLACK-4D,Opp_WIQ_KA,PO0024,47,448226.31,9536.73
2024-12-17,LS-6689SN-MAROON-4D,Opp_WIQ_KA,PO0024,47,448226.31,9536.73
2024-12-17,LS-GD-LED48BK,Opp_WIQ_KA,PO0024,30,117900.0,3930.0
2024-12-18,ODR-AC-LUNCHBAG-GREY,Opp_WIQ_KA,PO0022,300,44100.0,147.0
2024-12-18,ODR-AC-LUNCHBAG-JUTE,Opp_WIQ_KA,PO0022,380,51300.0,135.0
2024-12-18,ODR-AC-STEELBOTTLE-D1,Opp_WIQ_KA,PO0022,25,4300.0,172.0
2024-12-18,ODR-AC-STEELBOTTLE-D2,Opp_WIQ_KA,PO0022,96,16512.0,172.0
2024-12-31,CRT-CASSEROLE-TRIPLY-24-CALIF,Opp_WIQ_KA,PO0026,396,547866.0,1383.5
2024-12-31,CRT-DETACH-SET4-WHITE,Opp_WIQ_KA,PO0026,300,740376.0,2467.92
2024-12-31,CRT-FRYPAN-CERAMIC-28-COSY,Opp_WIQ_KA,PO0026,270,211485.6,783.28
2024-12-31,CRT-FRYPAN-TRIPLY-26-CALIF,Opp_WIQ_KA,PO0026,402,312932.88,778.44
2024-12-31,CRT-KADHAI-TRIPLY-24-CALIF,Opp_WIQ_KA,PO0026,396,452101.32,1141.67
2024-12-31,CRT-SAUCEPANWITHLID-CERAMIC-18-COSY,Opp_WIQ_KA,PO0026,240,181879.2,757.83
2024-12-31,CRT-SAUTEPANWITHLID-CERAMIC-28-COSY,Opp_WIQ_KA,PO0026,300,370293.0,1234.31
2024-12-31,CRT-TOOLS-SLOTTEDTURNER-CREAM,Opp_WIQ_KA,PO0026,500,36725.0,73.45
2024-12-31,CRT-TOOLS-SOLIDTURNER-CREAM,Opp_WIQ_KA,PO0026,500,36685.0,73.37
2024-12-31,CRT-TOOLS-SOUPLADLE-CREAM,Opp_WIQ_KA,PO0026,500,39355.0,78.71
2024-12-31,GT800A-BLUE,Opp_WIQ_KA,PO0027,200,1024000.0,5120.0
2024-12-31,GT800A-RED,Opp_WIQ_KA,PO0027,210,1075200.0,5120.0
2024-12-31,GT800A-WHITE,Opp_WIQ_KA,PO0027,210,1075200.0,5120.0
2025-01-07,CRT-CASSEROLE-TRIPLY-24-CALIF,Opp_WIQ_KA,PO0026,4,5534.0,1383.5
2025-01-07,CRT-SAUCEPANWITHLID-CERAMIC-18-COSY,Opp_WIQ_KA,PO0026,58,43954.14,757.83
2025-01-10,DOWINX-SPARES-6650-CHAIR-CASTOR,Opp_WIQ_KA,PO0028,2,2.0,1.0
2025-01-10,DOWINX-SPARES-6650-CHAIR-GASLIFT,Opp_WIQ_KA,PO0028,3,3.0,1.0
2025-01-10,DOWINX-SPARES-6650-CHAIR-METALBASE,Opp_WIQ_KA,PO0028,3,3.0,1.0
2025-01-10,DOWINX-SPARES-6650-CHAIR-SCREWS,Opp_WIQ_KA,PO0028,3,3.0,1.0
2025-01-10,DOWINX-SPARES-6658-CHAIR-CASTOR,Opp_WIQ_KA,PO0028,6,6.0,1.0
2025-01-10,DOWINX-SPARES-6658-CHAIR-GASLIFT,Opp_WIQ_KA,PO0028,6,6.0,1.0
2025-01-10,DOWINX-SPARES-6658-CHAIR-METALBASE,Opp_WIQ_KA,PO0028,5,5.0,1.0
2025-01-10,DOWINX-SPARES-6658-CHAIR-SCREWS,Opp_WIQ_KA,PO0028,6,6.0,1.0
2025-01-10,DOWINX-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0028,3,3.0,1.0
2025-01-10,DOWINX-SPARES-CHAIR-GASLIFT,Opp_WIQ_KA,PO0028,3,3.0,1.0
2025-01-10,DOWINX-SPARES-CHAIR-METALBASE,Opp_WIQ_KA,PO0028,3,3.0,1.0
2025-01-10,DOWINX-SPARES-CHAIR-PILLOW,Opp_WIQ_KA,PO0028,24,24.0,1.0
2025-01-10,DOWINX-SPARES-CHAIR-SCREWS,Opp_WIQ_KA,PO0028,3,3.0,1.0
2025-01-10,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0028,18,18.0,1.0
2025-01-10,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0028,18,18.0,1.0
2025-01-31,DOWINX-SPARES-6650-CHAIR-CASTOR,Opp_WIQ_KA,PO0028,1,1.0,1.0
2025-01-31,DOWINX-SPARES-6658-CHAIR-METALBASE,Opp_WIQ_KA,PO0028,1,1.0,1.0
2025-01-31,DOWINX-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0012,4,4.0,1.0
2025-01-31,DOWINX-SPARES-CHAIR-GASLIFT,Opp_WIQ_KA,PO0012,4,4.0,1.0
2025-01-31,DOWINX-SPARES-CHAIR-GASLIFTCOVER,Opp_WIQ_KA,PO0012,1,1.0,1.0
2025-01-31,DOWINX-SPARES-CHAIR-MECHANISM,Opp_WIQ_KA,PO0012,1,1.0,1.0
2025-01-31,DOWINX-SPARES-CHAIR-METALBASE,Opp_WIQ_KA,PO0012,4,4.0,1.0
2025-01-31,DOWINX-SPARES-CHAIR-SCREWS,Opp_WIQ_KA,PO0012,4,4.0,1.0
2025-01-31,GT800A-BLACK-SPARES-LUMBARPILLOW,Opp_WIQ_KA,PO0019,5,5.0,1.0
2025-01-31,GT800A-RED-SPARES-LUMBARPILLOW,Opp_WIQ_KA,PO0019,5,5.0,1.0
2025-01-31,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0019,3,3.0,1.0
2025-01-31,GT800A-SPARES-CHAIR-MECHANISM,Opp_WIQ_KA,PO0019,15,15.0,1.0
2025-01-31,GT800A-WHITE-SPARES-LUMBARPILLOW,Opp_WIQ_KA,PO0019,5,5.0,1.0
2025-02-01,CRT-FRYPAN-TRIPLY-26-CALIF,Opp_WIQ_KA,PO0031,30,23340.0,778.0
2025-02-01,DOWINX-SPARES-6650-CHAIR-CASTOR,Opp_WIQ_KA,PO0032,2,2.0,1.0
2025-02-01,DOWINX-SPARES-6650-CHAIR-GASLIFT,Opp_WIQ_KA,PO0032,2,2.0,1.0
2025-02-01,DOWINX-SPARES-6650-CHAIR-METALBASE,Opp_WIQ_KA,PO0032,2,2.0,1.0
2025-02-01,DOWINX-SPARES-6650-CHAIR-SCREWS,Opp_WIQ_KA,PO0032,2,2.0,1.0
2025-02-01,DOWINX-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0032,3,3.0,1.0
2025-02-01,DOWINX-SPARES-CHAIR-GASLIFT,Opp_WIQ_KA,PO0032,3,3.0,1.0
2025-02-01,DOWINX-SPARES-CHAIR-METALBASE,Opp_WIQ_KA,PO0032,3,3.0,1.0
2025-02-01,DOWINX-SPARES-CHAIR-SCREWS,Opp_WIQ_KA,PO0032,3,3.0,1.0
2025-02-01,LS-6650-BLACK-LINKARM,Opp_WIQ_KA,PO0032,200,1205480.0,6027.4
2025-02-01,LS-6689A-BLACK-LINKARM,Opp_WIQ_KA,PO0032,100,830408.0,8304.08
2025-02-01,LS-6689A-MAROON-LINKARM,Opp_WIQ_KA,PO0032,100,839234.0,8392.34
2025-02-01,LS-6689SN-BLACK-4D,Opp_WIQ_KA,PO0032,50,478344.5,9566.89
2025-02-01,LS-6689SN-MAROON-4D,Opp_WIQ_KA,PO0032,50,478344.5,9566.89
2025-02-05,GT800A-BLACK,Opp_WIQ_KA,PO0033,620,3164064.6,5103.33
2025-02-05,GT800A-BLACK,Opp_WIQ_KA,PO0036,310,1582032.3,5103.33
2025-02-05,GT800A-BLACK,Opp_WIQ_KA,PO0038,620,3164064.6,5103.33
2025-02-05,GT800A-BLUE,Opp_WIQ_KA,PO0036,310,1582032.3,5103.33
2025-02-05,GT800A-RED,Opp_WIQ_KA,PO0042,620,3164064.6,5103.33
2025-02-05,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0033,18,18.0,1.0
2025-02-05,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0033,18,18.0,1.0
2025-02-06,GT800A-BLACK,Opp_WIQ_KA,PO0043,620,3164064.6,5103.33
2025-02-06,GT800A-WHITE,Opp_WIQ_KA,PO0037,620,3164064.6,5103.33
2025-02-08,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0036,12,12.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0037,18,18.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0038,18,18.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0042,18,18.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0043,18,18.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0036,12,12.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0037,18,18.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0038,18,18.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0042,18,18.0,1.0
2025-02-08,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0043,18,18.0,1.0
2025-02-08,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0036,20,20.0,1.0
2025-02-08,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0037,20,20.0,1.0
2025-02-08,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0038,20,20.0,1.0
2025-02-08,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0042,20,20.0,1.0
2025-02-08,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0043,20,20.0,1.0
2025-02-10,CNLY-CPJ-JE37B,Opp_WIQ_KA,PO0044,500,3026445.0,6052.89
2025-02-13,GT800A-BLUE,Opp_WIQ_KA,PO0047,620,3160239.2,5097.16
2025-02-13,GT800A-WHITE,Opp_WIQ_KA,PO0046,620,3160239.2,5097.16
2025-02-13,GT829-BLACK,Opp_WIQ_KA,PO0045,168,1045391.76,6222.57
2025-02-13,GT829-GREEN,Opp_WIQ_KA,PO0045,168,1045391.76,6222.57
2025-02-13,GT829-GREY,Opp_WIQ_KA,PO0045,168,1045391.76,6222.57
2025-02-14,GT800A-BLUE,Opp_WIQ_KA,PO0048,310,1597402.1,5152.91
2025-02-14,GT800A-RED,Opp_WIQ_KA,PO0048,310,1597402.1,5152.91
2025-02-14,GT800A-WHITE,Opp_WIQ_KA,PO0050,620,3160239.2,5097.16
2025-02-14,LR002-XIN,Opp_WIQ_KA,PO0049,560,3367834.4,6013.99
2025-02-15,GT800A-BLACK,Opp_WIQ_KA,PO0051,620,3160239.2,5097.16
2025-02-15,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0046,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0047,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0048,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0050,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0051,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0046,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0047,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0048,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0050,18,18.0,1.0
2025-02-15,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0051,18,18.0,1.0
2025-02-15,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0046,20,20.0,1.0
2025-02-15,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0047,20,20.0,1.0
2025-02-15,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0048,20,20.0,1.0
2025-02-15,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0050,20,20.0,1.0
2025-02-15,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0051,20,20.0,1.0
2025-02-21,GT800A-BLACK,Opp_WIQ_KA,PO0052,310,1586065.4,5116.34
2025-02-21,GT800A-BLACK,Opp_WIQ_KA,PO0053,60,306980.4,5116.34
2025-02-21,GT800A-BLUE,Opp_WIQ_KA,PO0053,500,2558170.0,5116.34
2025-02-21,GT800A-RED,Opp_WIQ_KA,PO0053,60,306980.4,5116.34
2025-02-21,GT800A-RED,Opp_WIQ_KA,PO0054,620,3172130.8,5116.34
2025-02-21,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0052,12,12.0,1.0
2025-02-21,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0053,18,18.0,1.0
2025-02-21,GT800A-SPARES-CHAIR-CASTOR,Opp_WIQ_KA,PO0054,6,6.0,1.0
2025-02-21,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0052,12,12.0,1.0
2025-02-21,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0053,18,18.0,1.0
2025-02-21,GT800A-SPARES-CHAIR-LINKEDARMREST,Opp_WIQ_KA,PO0054,6,6.0,1.0
2025-02-21,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0052,20,20.0,1.0
2025-02-21,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0053,20,20.0,1.0
2025-02-21,GT800A-SPARES-SCREWSET,Opp_WIQ_KA,PO0054,20,20.0,1.0
2025-02-21,GT800A-WHITE,Opp_WIQ_KA,PO0052,310,1586065.4,5116.34
2025-03-01,ODR-AR-CONT-1030-5000,Opp_WIQ_KA,PO0055,120,11520.0,96.0
2025-03-01,ODR-AR-CONT-204-2900,Opp_WIQ_KA,PO0055,360,27720.0,77.0
2025-03-01,ODR-AR-CONT-211-1100,Opp_WIQ_KA,PO0055,300,15000.0,50.0
2025-03-01,ODR-AR-CONT-334-6070,Opp_WIQ_KA,PO0055,120,14760.0,123.0
2025-03-01,ODR-AR-CONT-403-10800,Opp_WIQ_KA,PO0055,324,51840.0,160.0
2025-03-01,ODR-AR-CONT-503-750,Opp_WIQ_KA,PO0055,324,11016.0,34.0
2025-03-01,ODR-AR-PLASHELF,Opp_WIQ_KA,PO0055,336,77280.0,230.0
2025-03-24,ODR-AR-CONT-1030-5000,Opp_WIQ_KA,PO0021,229,21984.0,96.0
2025-03-24,ODR-CLAZ-COCOPEN,Opp_WIQ_KA,PO0021,48,2880.0,60.0
2025-04-12,CH124-BLK,Opp_WIQ_KA,PO/2526/0057,269,1215124.11,4517.1900000000005
2025-04-12,CH124-GRY,Opp_WIQ_KA,PO/2526/0056,20,96009.6,4800.4800000000005
2025-04-12,CH124-GRY,Opp_WIQ_KA,PO/2526/0057,336,1612961.28,4800.4800000000005
2025-04-12,GTACE-MARS-BLACK,Opp_WIQ_KA,PO/2526/0056,209,1835912.43,8784.27
2025-04-12,GTACE-MARS-GREY,Opp_WIQ_KA,PO/2526/0056,210,1844696.7,8784.27
2025-04-16,GTACE-MARS-GREY,Opp_WIQ_KA,PO/2526/0056-1,1,8784.0,8784.0
2025-04-25,GT800A-BLUE,Opp_WIQ_KA,PO/2526/0059,1,5085.0,5085.0
2025-05-05,LS-6650-BLACK-LINKARM,Opp_WIQ_KA,PO/2526/0066,300,1739481.0,5798.27
2025-05-05,LS-6650-BLACK-LINKARM,Opp_WIQ_KA,PO/2526/0067,100,584549.0,5845.49
2025-05-05,LS-6657D-GREEN-LINKARM,Opp_WIQ_KA,PO/2526/0063,45,334350.0,7430.0
2025-05-05,LS-6657D-GREEN-LINKARM,Opp_WIQ_KA,PO/2526/0064,15,111456.9,7430.46
2025-05-05,LS-6657D-GREEN-LINKARM,Opp_WIQ_KA,PO/2526/0066,140,1040264.4,7430.46
2025-05-05,LS-6658-BLACK-LINKARM,Opp_WIQ_KA,PO/2526/0064,200,1299686.0,6498.43
2025-05-05,LS-6658-BLACK-LINKARM,Opp_WIQ_KA,PO/2526/0065,100,655191.0,6551.91
2025-05-05,LS-6658B-01,Opp_WIQ_KA,PO/2526/0064,300,2102355.0,7007.85
2025-05-05,LS-6689A-BLACK-LINKARM,Opp_WIQ_KA,PO/2526/0063,100,805800.0,8058.0
2025-05-05,LS-6689A-MAROON-LINKARM,Opp_WIQ_KA,PO/2526/0063,100,821800.0,8218.0
2025-05-05,LS-6689SN-BLACK-4D,Opp_WIQ_KA,PO/2526/0063,100,931500.0,9315.0
2025-05-05,LS-6689SN-MAROON-4D,Opp_WIQ_KA,PO/2526/0062,50,469687.5,9393.75
2025-05-05,LS-6689SN-MAROON-4D,Opp_WIQ_KA,PO/2526/0063,50,465750.0,9315.0
2025-05-05,LS-6689SN-WHITE-4D,Opp_WIQ_KA,PO/2526/0063,50,465750.0,9315.0
2025-06-11,TWR-COOK-CERSUR-DOTA-26,Opp_WIQ_HR,PO/2526/0002,300,118500.0,395.0
2025-06-11,TWR-COOK-CERSUR-DOTA-28,Opp_WIQ_HR,PO/2526/0002,396,171468.0,433.0
2025-06-11,TWR-COOK-CERSUR-DOTA-30,Opp_WIQ_HR,PO/2526/0002,492,241572.0,491.0
2025-06-16,TWR-COOK-CERSUR-DOTA-26,Opp_WIQ_HR,PO/2526/0003,480,189600.0,395.0
2025-06-16,TWR-COOK-CERSUR-DOTA-28,Opp_WIQ_HR,PO/2526/0003,480,207840.0,433.0
2025-06-16,TWR-COOK-CERSUR-DOTA-30,Opp_WIQ_HR,PO/2526/0003,264,129624.0,491.0
2025-06-27,TWR-COOK-CERSUR-DOTA-28,Opp_WIQ_HR,PO/2526/0003_1,12,5196.0,433.0
2025-07-03,TWR-COOK-CERSUR-FRYPAN-22,Opp_WIQ_HR,PO/2526/0006,12,4824.0,402.0
2025-07-03,TWR-COOK-CERSUR-FRYPAN-24,Opp_WIQ_HR,PO/2526/0006,12,5340.0,445.0
2025-07-04,TWR-COOK-CERSUR-FRYPAN-22,Opp_WIQ_HR,PO/2526/0006,288,115776.0,402.0
2025-07-04,TWR-COOK-CERSUR-FRYPAN-24,Opp_WIQ_HR,PO/2526/0006,288,128160.0,445.0
2025-07-06,TWR-COOK-CERSUR-DOTA-26,Opp_WIQ_HR,PO/2526/0007,8,3160.0,395.0
2025-07-06,TWR-COOK-CERSUR-FRYPAN-22,Opp_WIQ_HR,PO/2526/0007,12,4824.0,402.0
2025-07-06,TWR-COOK-CERSUR-FRYPAN-24,Opp_WIQ_HR,PO/2526/0007,132,58740.0,445.0
2025-07-06,TWR-COOK-CERSUR-KADLID-24,Opp_WIQ_HR,PO/2526/0007,304,198208.0,652.0
2025-07-06,TWR-COOK-CERSUR-KADLID-26,Opp_WIQ_HR,PO/2526/0007,296,213712.0,722.0
2025-07-26,GT800A-WHITE,Opp_WIQ_KA,PO/2526/0072,618,3025728.0,4896.0
